fighter,age,height,wins_total,losses_total,SLpM_total,SApM_total
Genaro Valdez,32.0,175.26,10.0,3.0,4.08,7.16
Genki Sudo,46.0,175.26,15.0,4.0,1.55,2.23
Geoff Neal,33.0,180.34,15.0,6.0,4.97,5.47
George Roop,42.0,185.42000000000002,15.0,13.0,3.43,2.4699999999999998
George Sotiropoulos,46.0,177.8,14.0,7.0,2.61,2.52
George Sullivan,43.0,182.87999999999997,17.0,7.0,3.53,2.4199999999999995
Georges St-Pierre,42.0,180.34,26.0,2.0,3.78,1.4
Gerald Harris,44.0,180.34,23.0,5.0,1.41,1.58
Gerald Meerschaert,36.0,185.42,36.0,17.0,3.18,3.37
Gerald Strebendt,45.0,175.26,9.0,7.0,0.0,4.0
Geraldo de Freitas,32.0,170.18,12.0,6.0,3.67,2.62
Germaine de Randamie,39.0,175.26,10.0,4.0,2.72,2.14
Gerry Harris,,203.2,1.0,4.0,0.0,0.0
Geza Kalman,,185.42,4.0,9.0,0.0,0.0
Gian Villante,38.0,190.5,17.0,14.0,4.38,5.47
Gideon Ray,50.0,177.80000000000004,17.0,15.0,2.08,2.58
Giga Chikadze,35.0,182.88,15.0,3.0,4.08,3.44
Gil Castillo,58.0,175.26,8.0,5.0,0.6,2.22
Gilbert Aldana,46.0,185.42,6.0,2.0,2.91,6.26
Gilbert Burns,37.0,177.8,22.0,7.0,3.2899999999999996,3.42
Gilbert Melendez,41.0,175.26,22.0,8.0,3.44,2.53
Gilbert Smith,42.0,175.26,12.0,6.0,1.09,2.73
Gilbert Urbina,27.0,190.5,7.0,4.0,5.61,4.61
Gilbert Yvel,47.0,187.96,39.0,16.0,1.05,1.78
Gillian Robertson,28.0,165.1,13.0,8.0,2.61,3.12
Gina Mazany,35.0,167.64,7.0,6.0,3.73,3.52
Glaico Franca Moreira,33.0,182.88,15.0,5.0,2.35,3.4599999999999995
Gleison Tibau,40.0,177.8,33.0,14.0,1.95,2.5100000000000002
Gloria de Paula,28.0,165.1,6.0,5.0,4.89,3.77
Glover Teixeira,44.0,187.96,33.0,9.0,3.7300000000000004,4.43
Godofredo Pepey,36.0,170.18,13.0,6.0,2.32,3.23
Gokhan Saki,40.0,182.88,1.0,2.0,7.09,4.57
Goran Reljic,40.0,190.5,15.0,8.0,1.69,2.69
Grant Dawson,30.0,177.8,20.0,2.0,2.97,2.27
Gray Maynard,44.0,175.26,13.0,7.0,1.9200000000000002,2.64
Greg Hardy,35.0,195.58,7.0,5.0,4.79,3.31
Greg Soto,37.0,180.34,9.0,4.0,3.2099999999999995,2.61
Greg Stott,,170.18,0.0,1.0,0.0,0.0
Gregor Gillespie,37.0,170.18,14.0,1.0,3.74,2.3
Gregory Rodrigues,32.0,190.5,15.0,5.0,6.08,5.3
Grigory Popov,39.0,170.18,13.0,3.0,3.63,4.2
Guangyou Ning,42.0,162.56,5.0,4.0,2.66,1.91
Guido Cannetti,44.0,167.64,10.0,8.0,3.44,2.84
Guilherme Vasconcelos,38.0,182.88,9.0,4.0,3.27,4.4
Gunnar Nelson,35.0,180.34,19.0,5.0,1.84,3.0
Guram Kutateladze,32.0,180.34,12.0,4.0,4.62,4.53
Gustavo Lopez,34.0,165.1,12.0,6.0,2.48,3.8699999999999997
Guto Inocente,37.0,190.5,7.0,4.0,4.13,2.92
Guy Mezger,56.0,185.42,30.0,14.0,2.3,1.36
Hacran Dias,39.0,172.72,23.0,6.0,2.08,3.31
Hailey Cowan,32.0,172.72,7.0,3.0,2.97,3.17
Hakeem Dawodu,32.0,172.72,13.0,4.0,5.45,3.37
Hannah Cifers,31.0,154.94,10.0,7.0,4.99,5.39
Hannah Goldy,31.0,162.56,6.0,4.0,5.19,4.67
Hans Stringer,36.0,190.5,22.0,8.0,3.16,2.84
Harold Howard,,187.96,1.0,3.0,0.0,0.0
Harry Hunsucker,35.0,187.96,7.0,6.0,3.5400000000000005,6.53
Harry Moskowitz,,195.58,6.0,12.0,0.0,0.0
Hatsu Hioki,40.0,180.34,29.0,10.0,2.42,2.12
Hayato Sakurai,48.0,170.18,38.0,13.0,2.45,1.94
Hayder Hassan,41.0,177.8,6.0,3.0,2.11,3.16
He-Man Gipson,,175.26,1.0,2.0,0.0,0.0
Heath Herring,46.0,193.04,28.0,16.0,2.37,1.77
Heather Clark,43.0,167.64,7.0,6.0,3.69,5.62
Hector Aldana,35.0,180.34,4.0,3.0,3.59,5.08
Hector Lombard,46.0,175.26,34.0,10.0,3.02,3.35
Hector Ramirez,48.0,182.88,10.0,6.0,2.27,4.6
Hector Sandoval,37.0,157.48,14.0,4.0,3.31,2.33
Hector Urbina,36.0,180.34,17.0,10.0,0.9700000000000001,2.44
Henrique da Silva,34.0,190.5,14.0,5.0,3.89,5.28
Henry Briones,43.0,172.72,16.0,8.0,3.47,4.68
Henry Cejudo,37.0,162.56,16.0,4.0,3.77,3.29
Henry Martinez,40.0,170.18,9.0,4.0,2.7900000000000005,4.01
Herbert Burns,36.0,175.26,11.0,4.0,1.61,4.74
Hermes Franca,49.0,167.64,24.0,17.0,1.7800000000000002,2.85
Hernani Perpetuo,38.0,182.88,18.0,5.0,2.73,4.37
Holly Holm,42.0,172.72,15.0,6.0,3.21,2.79
Homer Moore,52.0,177.8,26.0,9.0,0.68,0.68
Horacio Gutierrez,33.0,177.8,4.0,3.0,0.86,2.91
Houston Alexander,52.0,182.88,17.0,15.0,3.06,3.2000000000000006
Houston Dorr,,185.42,1.0,2.0,0.0,0.0
Hu Yaozong,28.0,190.5,3.0,3.0,3.35,5.09
Hugo Duarte,55.0,182.88,6.0,3.0,0.0,0.0
Hugo Viana,41.0,167.64,8.0,4.0,3.0499999999999994,3.2000000000000006
Humberto Bandenay,29.0,180.34,14.0,7.0,2.22,4.79
Humberto Brown Morrison,39.0,177.8,4.0,6.0,1.71,2.19
Hunter Azure,32.0,172.72,9.0,2.0,3.92,2.08
Hyder Amil,33.0,175.26,9.0,0.0,4.73,2.16
Hyun Gyu Lim,39.0,190.5,13.0,7.0,4.45,5.07
HyunSung Park,28.0,170.18,9.0,0.0,4.15,3.43
Ian Entwistle,37.0,165.1,9.0,3.0,0.11,7.36
Ian Freeman,57.0,180.34,20.0,7.0,2.54,3.11
Ian Heinisch,35.0,180.34,14.0,5.0,3.25,2.98
Ian Loveland,40.0,172.72,18.0,10.0,2.7099999999999995,2.36
Ian Machado Garry,26.0,190.5,14.0,0.0,6.2700000000000005,3.4899999999999998
Ian McCall,39.0,165.1,13.0,5.0,3.59,3.25
Iasmin Lucindo,22.0,160.02,15.0,5.0,3.33,3.23
Icho Larenas,44.0,190.5,6.0,5.0,0.17,2.5
Ignacio Bahamondes,26.0,190.5,14.0,5.0,6.970000000000001,4.36
Igor Araujo,43.0,185.42,25.0,9.0,1.52,2.86
Igor Pokrajac,45.0,182.88,28.0,13.0,2.25,4.26
Igor Severino,20.0,170.18,8.0,1.0,7.17,4.33
Igor Zinoviev,,185.42,4.0,1.0,0.0,0.0
Ihor Potieria,27.0,190.5,20.0,5.0,5.19,5.01
Ike Villanueva,39.0,185.42,18.0,14.0,3.66,7.239999999999999
Ikram Aliskerov,31.0,182.88,15.0,1.0,8.24,7.15
Ikuhisa Minowa,48.0,175.26,60.0,42.0,0.88,1.66
Ildemar Alcantara,41.0,187.96,21.0,11.0,1.93,2.63
Ilia Topuria,27.0,170.18,15.0,0.0,4.4,3.35
Iliarde Santos,43.0,165.1,30.0,13.0,3.0,6.099999999999999
Ilir Latifi,41.0,177.8,17.0,9.0,2.05,2.93
Impa Kasanganay,30.0,180.34,9.0,2.0,4.96,3.66
Ion Cutelaba,30.0,185.42,17.0,10.0,4.44,3.43
Irene Aldana,36.0,175.26000000000002,15.0,7.0,5.24,6.33
Irina Alekseeva,33.0,172.72,5.0,2.0,3.84,3.55
Irwin Rivera,35.0,167.64,10.0,6.0,3.36,5.07
Isaac Dulgarian,27.0,170.18,6.0,1.0,2.88,2.53
Isaac Vallie-Flagg,45.0,172.72,16.0,7.0,5.56,5.6
Isabela de Padua,32.0,160.02,5.0,2.0,1.0,2.07
Islam Makhachev,32.0,177.8,25.0,1.0,2.46,1.27
Ismael Bonfim,28.0,172.72,19.0,4.0,4.91,2.66
Ismail Naurdiev,27.0,177.8,19.0,4.0,3.17,1.3
Israel Adesanya,34.0,193.04,24.0,3.0,3.93,3.11
Issei Tamura,40.0,165.1,10.0,8.0,1.89,4.58
Istela Nunes,31.0,162.56,6.0,5.0,5.02,4.84
Iuri Alcantara,43.0,175.26,35.0,10.0,2.72,2.79
Ivan Jorge,43.0,175.26,27.0,7.0,3.41,2.91
Ivan Menjivar,41.0,167.64,25.0,12.0,2.78,2.76
Ivan Salaverry,53.0,182.87999999999997,14.0,9.0,3.0100000000000002,1.19
Ivan Serati,,182.88,12.0,4.0,0.86,5.33
Ivana Petrovic,29.0,172.72,6.0,1.0,1.47,2.73
Izabela Badurek,32.0,165.1,6.0,3.0,3.74,4.9
JC Cottrell,34.0,175.26,17.0,5.0,0.79,2.75
JJ Aldrich,31.0,165.1,13.0,6.0,4.05,4.53
JP Buys,27.0,165.1,9.0,6.0,1.88,3.02
Jacare Souza,44.0,185.42,26.0,10.0,2.53,2.83
Jack Della Maddalena,27.0,180.34,17.0,2.0,6.74,4.27
Jack Hermansson,35.0,185.42,24.0,8.0,5.09,3.69
Jack Jenkins,30.0,170.18,12.0,3.0,4.43,3.07
Jack Marshman,34.0,182.88,23.0,10.0,2.74,4.19
Jack May,42.0,203.2,9.0,3.0,1.52,3.29
Jack McGlaughlin,,180.34,1.0,4.0,0.0,0.0
Jack Nilson,,181.61,2.0,6.0,0.0,0.0
Jack Shore,29.0,172.72,17.0,1.0,3.84,2.2
Jackie Lee,,175.26,0.0,1.0,0.0,0.0
Jacob Kilburn,28.0,175.26,8.0,4.0,2.56,6.78
Jacob Malkoun,28.0,175.26,7.0,3.0,3.89,2.49
Jacob Volkmann,43.0,175.26,19.0,7.0,1.19,1.78
Jacqueline Cavalcanti,26.0,172.72,6.0,1.0,8.4,2.6
Jafel Filho,30.0,170.18,16.0,3.0,2.36,2.0
Jai Herbert,35.0,185.42,12.0,5.0,2.69,3.15
Jailton Almeida,32.0,190.5,20.0,3.0,2.54,0.74
Jairzinho Rozenstruik,36.0,187.96,14.0,5.0,3.44,2.7800000000000002
Jake Collier,35.0,190.5,13.0,10.0,5.8,5.08
Jake Ellenberger,39.0,175.26,31.0,15.0,2.47,2.83
Jake Hadley,27.0,170.18,10.0,2.0,3.42,3.2
Jake Hecht,40.0,182.88,11.0,4.0,3.26,2.76
Jake Lindsey,37.0,180.34,12.0,7.0,3.44,4.01
Jake Matthews,29.0,180.34,19.0,7.0,3.3,2.56
Jake O'Brien,39.0,190.5,15.0,4.0,1.31,1.92
Jake Rosholt,42.0,185.42,12.0,5.0,2.68,2.33
Jake Shields,45.0,182.87999999999997,31.0,9.0,2.45,1.8
Jalin Turner,28.0,190.5,14.0,7.0,6.02,4.63
Jamahal Hill,32.0,193.04,12.0,1.0,7.31,3.35
Jamal Pogues,28.0,190.5,11.0,4.0,3.36,4.17
Jamall Emmers,34.0,177.80000000000004,20.0,7.0,5.1,3.7900000000000005
James Bochnovic,35.0,193.04,8.0,3.0,0.65,3.64
James Giboo,46.0,180.34,13.0,5.0,1.2,7.08
James Hammortree,40.0,190.5,6.0,3.0,1.93,4.13
James Head,40.0,185.42,9.0,4.0,2.75,3.11
James Irvin,45.0,187.96,17.0,10.0,2.03,3.8600000000000003
James Krause,37.0,187.96,28.0,9.0,4.79,4.11
James Lee,50.0,180.34,15.0,3.0,1.4,3.72
James McSweeney,43.0,193.04,15.0,15.0,3.94,4.33
James Moontasri,35.0,177.80000000000004,9.0,5.0,2.39,3.86
James Mulheron,36.0,177.8,11.0,2.0,2.4,3.47
James Te Huna,42.0,187.96,16.0,9.0,4.04,2.99
James Toney,55.0,175.26,0.0,1.0,0.0,2.41
James Vick,37.0,190.5,13.0,5.0,4.13,3.31
James Wilks,45.0,185.42,7.0,4.0,1.82,2.03
James Zikic,47.0,187.96,21.0,10.0,1.47,1.6
Jamey Simmons,31.0,167.64,7.0,4.0,0.79,1.92
Jamey-Lyn Horth,33.0,170.18,6.0,1.0,3.97,3.53
Jamie Moyle,35.0,154.94,4.0,3.0,4.51,4.0
Jamie Mullarkey,29.0,182.88,17.0,7.0,4.46,4.49
Jamie Pickett,35.0,187.96,13.0,11.0,2.65,3.6199999999999997
Jamie Varner,39.0,172.72,21.0,11.0,2.92,2.55
Jamie Yager,40.0,185.42,8.0,4.0,3.08,2.55
Jan Blachowicz,41.0,187.96,29.0,10.0,3.41,2.91
Jaqueline Amorim,28.0,160.02,8.0,1.0,3.33,1.8500000000000003
Jared Cannonier,40.0,180.34,17.0,6.0,4.68,4.13
Jared Gooden,30.0,182.88,23.0,9.0,5.08,6.68
Jared Gordon,35.0,175.26000000000002,20.0,6.0,5.39,3.3999999999999995
Jared Hamman,42.0,190.5,14.0,6.0,5.15,3.93
Jared Papazian,36.0,172.72,20.0,13.0,3.33,3.81
Jared Rollins,47.0,175.26,8.0,4.0,3.33,2.41
Jared Rosholt,37.0,187.96,14.0,4.0,2.08,1.52
Jared Vanderaa,31.0,193.04,12.0,10.0,4.96,5.67
Jarjis Danho,40.0,190.5,7.0,1.0,3.38,5.25
Jarno Errens,29.0,180.34,14.0,5.0,3.44,3.36
Jarred Brooks,30.0,160.02,13.0,2.0,2.12,1.66
Jasmine Jasudavicius,35.0,170.18,10.0,3.0,3.9500000000000006,4.03
Jason Black,51.0,172.72,23.0,4.0,1.06,2.6
Jason Brilz,48.0,180.34,22.0,6.0,2.66,1.78
Jason Day,42.0,182.88,19.0,12.0,3.61,3.4599999999999995
Jason DeLucia,54.0,180.34,33.0,21.0,0.0,0.0
Jason Dent,43.0,177.8,22.0,13.0,2.01,3.7
Jason Fairn,,185.42,4.0,5.0,0.0,0.0
Jason Gilliam,,182.88,14.0,9.0,0.79,3.14
Jason Godsey,,187.96,16.0,16.0,0.0,0.0
Jason Gonzalez,34.0,187.96,11.0,5.0,3.06,3.13
Jason High,42.0,172.72,21.0,6.0,1.28,1.56
Jason Knight,31.0,177.8,20.0,5.0,2.95,3.02
Jason Lambert,48.0,190.5,26.0,13.0,3.21,1.84
Jason MacDonald,48.0,190.5,25.0,16.0,1.55,2.7
Jason Miller,43.0,185.42,23.0,10.0,1.83,2.3
Jason Novelli,44.0,182.88,11.0,3.0,1.73,3.55
Jason Reinhardt,54.0,167.64,20.0,3.0,0.51,4.07
Jason Saggo,38.0,180.34,12.0,4.0,2.5,2.94
Jason Tan,42.0,177.8,5.0,3.0,0.69,7.37
Jason Thacker,48.0,177.8,0.0,1.0,0.63,17.05
Jason Von Flue,48.0,182.88,14.0,12.0,1.89,3.23
Jason Witt,37.0,177.80000000000004,19.0,9.0,2.15,2.54
Jason Young,37.0,175.26,9.0,6.0,2.97,3.2
Javid Basharat,28.0,175.26,14.0,1.0,5.42,2.97
Javier Vazquez,46.0,170.18,16.0,5.0,2.43,1.99
Jay Cucciniello,37.0,170.18,8.0,1.0,0.93,4.73
Jay Hieron,47.0,182.88,23.0,7.0,1.66,1.89
Jay Perrin,30.0,170.18,10.0,7.0,3.7099999999999995,3.9
Jay Silva,,187.96,10.0,11.0,1.13,3.07
Jean Silva,27.0,170.18,12.0,2.0,5.83,4.27
Jeff Cox,55.0,177.8,10.0,7.0,0.56,1.69
Jeff Curran,46.0,167.64,36.0,18.0,1.54,2.48
Jeff Hougland,45.0,170.18,10.0,6.0,1.86,3.4599999999999995
Jeff Hughes,35.0,187.96,10.0,4.0,3.9500000000000006,3.67
Jeff Joslin,48.0,182.88,5.0,3.0,2.17,1.57
Jeff Molina,26.0,167.64,11.0,2.0,7.25,5.04
Jeff Monson,53.0,175.26,60.0,26.0,0.97,2.87
Jeff Newton,57.0,187.96,4.0,2.0,0.28,1.41
Jeka Saragih,29.0,172.72,14.0,3.0,2.76,2.84
Jenel Lausa,35.0,165.1,7.0,5.0,1.44,3.53
Jennifer Maia,35.0,162.56,21.0,10.0,4.35,4.52
Jens Pulver,49.0,170.18,27.0,19.0,2.12,3.13
JeongYeong Lee,28.0,177.8,11.0,1.0,2.81,1.57
Jeremiah Wells,37.0,175.26,12.0,4.0,2.41,1.31
Jeremy Horn,48.0,185.42000000000002,91.0,22.0,1.19,1.99
Jeremy Jackson,41.0,177.8,9.0,5.0,0.71,2.03
Jeremy Kennedy,31.0,180.34,11.0,1.0,2.22,2.58
Jeremy Kimball,33.0,182.88,15.0,8.0,2.81,3.84
Jeremy Larsen,39.0,177.80000000000004,8.0,5.0,4.87,5.75
Jeremy Stephens,37.0,175.26,28.0,19.0,3.17,3.05
Jermaine Andre,,170.18,14.0,4.0,0.0,0.0
Jerome Rivera,28.0,177.8,10.0,6.0,3.21,2.6
Jerrod Sanders,44.0,172.72,16.0,3.0,0.88,1.14
Jerry Bohlander,50.0,180.34,11.0,4.0,0.0,0.0
Jess Liaudin,,175.26,20.0,11.0,2.46,2.76
Jessamyn Duke,37.0,180.34,3.0,5.0,4.83,4.43
Jesse Bongfeldt,43.0,182.88,16.0,5.0,2.91,1.01
Jesse Butler,31.0,177.8,12.0,5.0,2.61,7.83
Jesse Forbes,39.0,187.96,15.0,5.0,2.11,4.06
Jesse Lennox,42.0,175.26,14.0,4.0,2.69,3.2000000000000006
Jesse Ronson,38.0,177.8,21.0,12.0,3.54,3.3899999999999997
Jesse Sanders,,182.88,23.0,7.0,0.0,6.45
Jesse Strader,32.0,170.18,5.0,3.0,5.03,5.28
Jesse Taylor,41.0,182.88,31.0,15.0,1.94,0.55
Jessica Aguilar,41.0,160.02,20.0,8.0,4.93,7.19
Jessica Andrade,32.0,154.94,25.0,12.0,6.67,5.36
Jessica Eye,37.0,167.64,15.0,11.0,3.86,4.19
Jessica Penne,41.0,165.1,14.0,8.0,2.52,4.75
Jessica Rakoczy,46.0,170.18,1.0,5.0,2.5,3.55
Jessica-Rose Clark,36.0,165.1,11.0,9.0,3.73,3.51
Jessin Ayari,31.0,182.88,16.0,6.0,3.53,3.59
Jesus Aguilar,28.0,162.56,10.0,2.0,1.49,1.11
Jesus Pinedo,27.0,177.8,16.0,5.0,3.23,4.37
Ji Yeon Kim,34.0,170.18,9.0,7.0,5.37,5.41
Jianping Yang,35.0,170.18,11.0,4.0,1.4,2.07
Jim Alers,37.0,175.26,13.0,3.0,2.9,4.38
Jim Miller,40.0,172.72,37.0,17.0,2.96,3.18
Jim Mullen,,185.42,0.0,2.0,0.0,0.0
Jim Wallhead,40.0,177.8,29.0,11.0,3.19,6.65
Jimi Manuwa,44.0,185.42,17.0,6.0,3.43,3.97
Jimmie Rivera,34.0,162.56,23.0,5.0,4.03,3.9
Jimmy Crute,28.0,187.96,12.0,4.0,3.68,3.04
Jimmy Flick,33.0,170.18,17.0,7.0,1.7,5.2
Jimmy Quinlan,37.0,182.88,3.0,1.0,2.08,5.94
Jimy Hettes,36.0,175.26,11.0,3.0,3.47,3.5
Jin Soo Son,30.0,167.64,9.0,4.0,5.1,7.63
Jinh Yu Frey,38.0,160.02,11.0,10.0,2.97,4.23
Jiri Prochazka,31.0,190.5,29.0,4.0,5.31,5.17
Joachim Christensen,45.0,190.5,14.0,6.0,3.78,3.29
Joanderson Brito,29.0,172.72,16.0,3.0,3.3199999999999994,2.62
Joanna Jedrzejczyk,36.0,167.64,16.0,5.0,6.28,3.25
Joanne Wood,38.0,167.64,17.0,8.0,7.1,4.89
Joao Pierini,52.0,185.42,4.0,1.0,0.76,4.56
Joao Roque,52.0,167.64,7.0,2.0,0.0,0.0
Joao Zeferino,38.0,180.34,21.0,9.0,0.83,2.6
Joaquim Silva,35.0,172.72,13.0,5.0,3.6100000000000003,4.51
Joaquin Buckley,29.0,177.8,17.0,6.0,3.87,3.3100000000000005
Joby Sanchez,32.0,167.64,11.0,4.0,3.22,2.82
Jocelyn Jones-Lybarger,38.0,170.18,6.0,4.0,2.9599999999999995,4.83
Jodie Esquibel,37.0,154.94,6.0,6.0,4.1,7.37
Joe Brammer,40.0,172.72,7.0,3.0,2.15,2.8
Joe Charles,,185.42,6.0,13.0,0.0,0.0
Joe Doerksen,46.0,182.88,51.0,16.0,1.43,2.79
Joe Duffy,36.0,177.8,16.0,5.0,2.68,3.78
Joe Ellenberger,39.0,175.26,15.0,2.0,1.62,3.45
Joe Giannetti,28.0,182.88,6.0,1.0,1.93,2.8
Joe Jordan,45.0,167.64,49.0,14.0,1.85,4.27
Joe Lauzon,39.0,177.8,28.0,16.0,2.84,5.39
Joe Merritt,40.0,182.88,7.0,2.0,1.53,0.73
Joe Moreira,,180.34,2.0,2.0,0.0,0.0
Joe Pardo,,185.42,4.0,6.0,0.0,0.0
Joe Proctor,38.0,177.8,11.0,5.0,3.39,3.93
Joe Pyfer,27.0,187.96,12.0,3.0,3.66,3.58
Joe Riggs,41.0,182.88,44.0,17.0,2.41,1.6900000000000002
Joe Slick,46.0,182.88,16.0,5.0,0.0,0.0
Joe Solecki,30.0,175.26,13.0,4.0,2.21,1.53
Joe Son,53.0,162.56,0.0,4.0,0.0,0.0
Joe Soto,37.0,167.64,18.0,7.0,3.36,5.37
Joe Stevenson,41.0,170.18,33.0,16.0,2.05,2.44
Joe Vedepo,,182.88,18.0,9.0,1.43,5.71
Joe Veres,46.0,170.18,4.0,3.0,0.0,5.55
Joel Alvarez,31.0,190.5,20.0,3.0,3.65,3.37
Joel Sutton,,180.34,2.0,4.0,0.0,0.0
Joey Beltran,42.0,185.42,17.0,14.0,4.92,5.27
Joey Gambino,35.0,170.18,9.0,2.0,2.47,2.53
Joey Gilbert,47.0,180.34,2.0,3.0,0.61,4.44
Joey Gomez,37.0,177.8,6.0,2.0,2.44,4.46
Joey Roberts,,187.96,4.0,3.0,0.0,0.0
John Albert,37.0,172.72,6.0,5.0,3.05,2.82
John Alessio,44.0,177.8,35.0,17.0,2.1,2.91
John Allan,31.0,185.42,13.0,7.0,3.56,5.74
John Campetella,,175.26,0.0,1.0,0.0,0.0
John Castaneda,32.0,167.64,21.0,6.0,4.79,4.99
John Cholish,40.0,180.34,8.0,3.0,2.65,2.29
John Cofer,39.0,175.26,8.0,4.0,2.73,3.43
John Dodson,39.0,160.02,22.0,12.0,3.2,3.58
John Dowdy,,185.42,0.0,1.0,0.0,0.0
John Gunderson,45.0,175.26,35.0,16.0,1.04,1.71
John Gunther,38.0,175.26,5.0,1.0,1.65,3.72
John Halverson,51.0,175.26,16.0,8.0,2.94,5.29
John Hathaway,36.0,185.42,17.0,2.0,3.4,1.7999999999999998
John Howard,41.0,170.18,24.0,13.0,2.15,3.0800000000000005
John Kolosci,49.0,180.34,15.0,9.0,0.21,0.85
John Lewis,,182.88,3.0,4.0,0.0,4.0
John Lineker,33.0,160.02,31.0,9.0,5.36,4.27
John Lober,56.0,180.34,5.0,9.0,0.0,0.0
John Maguire,40.0,175.26,24.0,9.0,1.41,2.44
John Makdessi,38.0,172.72,18.0,9.0,5.52,4.15
John Marsh,53.0,182.88,8.0,7.0,0.83,2.23
John Matua,,187.96,1.0,4.0,0.0,0.0
John Moraga,40.0,167.64000000000001,19.0,7.0,2.57,2.55
John Phillips,38.0,180.34,22.0,11.0,1.72,4.03
John Polakowski,42.0,177.8,2.0,2.0,2.6,2.83
John Salter,39.0,185.42,14.0,3.0,1.68,1.68
John Teixeira,37.0,170.18,21.0,2.0,3.36,3.2
Johnny Bedford,41.0,177.8,21.0,13.0,4.53,1.75
Johnny Case,34.0,177.80000000000004,22.0,6.0,3.9500000000000006,2.66
Johnny Eduardo,45.0,170.18,28.0,13.0,2.95,3.22
Johnny Munoz,31.0,175.26,12.0,4.0,2.44,2.66
Johnny Rees,41.0,182.88,13.0,5.0,3.29,0.84
Johnny Rhodes,,182.88,2.0,1.0,0.0,0.0
Johnny Walker,31.0,198.12,21.0,8.0,3.81,2.83
Johny Hendricks,40.0,175.26,18.0,8.0,3.49,3.99
Jon Delos Reyes,36.0,167.64,8.0,5.0,2.99,4.14
Jon Fitch,46.0,182.88,30.0,7.0,2.61,1.65
Jon Hess,,200.66,1.0,1.0,0.0,0.0
Jon Jones,36.0,193.04,27.0,1.0,4.29,2.22
Jon Madsen,44.0,182.88,8.0,2.0,2.46,1.18
Jon Manley,37.0,185.42,9.0,4.0,1.13,4.33
Jon Olav Einemo,48.0,198.12,6.0,3.0,2.15,3.05
Jon Tuck,39.0,180.34,10.0,5.0,3.0,3.74
Jonathan Brookins,38.0,182.88,16.0,10.0,2.69,3.63
Jonathan Goulet,44.0,182.88,23.0,12.0,1.61,2.01
Jonathan Martinez,29.0,172.72,19.0,4.0,4.64,3.76
Jonathan Meunier,36.0,190.5,8.0,1.0,3.47,1.43
Jonathan Pearce,31.0,182.87999999999997,14.0,5.0,5.6,3.35
Jonathan Wiezorek,46.0,190.5,11.0,2.0,1.27,5.47
Jonathan Wilson,36.0,187.96,7.0,3.0,2.92,5.65
Jonavin Webb,34.0,177.8,9.0,2.0,1.47,2.27
Jonny Parsons,32.0,175.26,9.0,3.0,4.65,4.89
Jordan Espinosa,34.0,167.64,15.0,9.0,4.22,2.94
Jordan Griffin,34.0,177.8,18.0,9.0,2.52,3.02
Jordan Johnson,35.0,187.96,10.0,0.0,3.45,2.64
Jordan Leavitt,28.0,175.26,11.0,3.0,2.55,1.84
Jordan Mein,34.0,182.88,31.0,12.0,3.35,2.55
Jordan Radev,47.0,170.18,23.0,5.0,1.35,2.38
Jordan Rinaldi,36.0,177.8,14.0,7.0,1.56,2.32
Jordan Williams,33.0,185.42,9.0,6.0,5.830000000000001,5.46
Jordan Wright,32.0,187.96,12.0,5.0,4.1,6.03
Jorge Gurgel,47.0,170.18,14.0,10.0,3.37,3.62
Jorge Lopez,35.0,177.8,11.0,5.0,2.47,2.57
Jorge Masvidal,39.0,180.34,35.0,17.0,4.05,3.05
Jorge Patino,50.0,172.72,38.0,19.0,1.33,3.14
Jorge Rivera,52.0,185.42,20.0,9.0,3.1600000000000006,2.64
Jorge Santiago,43.0,185.42,25.0,12.0,1.6900000000000002,2.62
Jorge de Oliveira,44.0,172.72,9.0,2.0,1.26,4.84
Jose Aldo,37.0,170.18,31.0,8.0,3.5699999999999994,3.7400000000000007
Jose Johnson,28.0,182.88,16.0,8.0,2.8,1.73
Jose Maria,42.0,165.1,37.0,7.0,3.2,3.98
Jose Quinonez,33.0,172.72,9.0,5.0,3.5999999999999996,3.0
Jose Torres,31.0,162.56,8.0,1.0,4.37,9.84
Josefine Knutsson,28.0,160.02,7.0,0.0,3.73,1.33
Joselyne Edwards,28.0,172.72,13.0,5.0,4.71,3.36
Joseph Benavidez,39.0,162.56,28.0,8.0,3.52,2.67
Joseph Gigliotti,30.0,180.34,7.0,2.0,1.04,2.92
Joseph Holmes,28.0,193.04,8.0,4.0,2.88,3.08
Joseph Morales,29.0,167.64,9.0,2.0,1.58,1.72
Joseph Sandoval,37.0,170.18,7.0,7.0,1.82,12.12
Josh Barnett,46.0,190.5,35.0,8.0,3.2,2.11
Josh Bryant,43.0,177.8,15.0,4.0,1.1,6.1
Josh Clopton,42.0,167.64,6.0,2.0,1.6,2.87
Josh Copeland,41.0,185.42,12.0,4.0,1.03,3.01
Josh Culibao,29.0,177.80000000000004,11.0,3.0,3.2000000000000006,3.24
Josh Emmett,39.0,167.64000000000001,19.0,4.0,4.04,4.61
Josh Ferguson,35.0,165.1,10.0,5.0,2.13,4.18
Josh Fremd,30.0,193.04,11.0,5.0,2.93,2.63
Josh Grispi,35.0,180.34,14.0,5.0,1.44,3.71
Josh Haynes,46.0,175.26,14.0,11.0,1.25,4.03
Josh Hendricks,47.0,187.96,19.0,11.0,0.98,11.8
Josh Koscheck,46.0,177.8,17.0,11.0,1.79,2.27
